id,number,chapter_no,chapter,question,frequency,difficulty,priority20,path
q001,1,1,Agent 架构与 Agent Loop,LLM、Workflow 和 Agent 有什么区别？什么时候不应该使用 Agent？,必考,中,False,questions/01-agent-loop-architecture/q001.md
q002,2,1,Agent 架构与 Agent Loop,不使用任何 Agent 框架，如何从零实现一个最小 Agent Loop？,必考,中,True,questions/01-agent-loop-architecture/q002.md
q003,3,1,Agent 架构与 Agent Loop,为什么说 Agent Loop 本质上可以看成状态机？State 里应该保存什么？,高频,中,False,questions/01-agent-loop-architecture/q003.md
q004,4,1,Agent 架构与 Agent Loop,生产 Agent 中，哪些逻辑交给 LLM，哪些逻辑必须写死在代码里？,必考,中,True,questions/01-agent-loop-architecture/q004.md
q005,5,1,Agent 架构与 Agent Loop,Graph Engineer 和 Loop Engineer 的核心区别是什么？,高频,中,False,questions/01-agent-loop-architecture/q005.md
q006,6,1,Agent 架构与 Agent Loop,Agent 的最终完成条件如何定义？为什么不能相信模型说‘完成了’？,高频,中,False,questions/01-agent-loop-architecture/q006.md
q007,7,1,Agent 架构与 Agent Loop,Agent 的 Structured Output 校验失败怎么办？,高频,中,False,questions/01-agent-loop-architecture/q007.md
q008,8,1,Agent 架构与 Agent Loop,一个 Agent 系统应该有几层状态？,中频,中,False,questions/01-agent-loop-architecture/q008.md
q009,9,1,Agent 架构与 Agent Loop,什么是 Agent Harness？它和 Prompt、Agent Framework 的区别是什么？,必考,难,False,questions/01-agent-loop-architecture/q009.md
q010,10,1,Agent 架构与 Agent Loop,请构建一个 Agent Failure Taxonomy。,必考,难,True,questions/01-agent-loop-architecture/q010.md
q011,11,2,Planning、Reflection 与任务控制,ReAct、Plan-and-Execute、Reflection 分别适合什么任务？,高频,中,False,questions/02-planning-control/q011.md
q012,12,2,Planning、Reflection 与任务控制,Planner 输出的计划为什么不能直接执行？,必考,中,True,questions/02-planning-control/q012.md
q013,13,2,Planning、Reflection 与任务控制,Agent 执行一半跑偏了，如何在中间发现？,必考,难,True,questions/02-planning-control/q013.md
q014,14,2,Planning、Reflection 与任务控制,计划执行到第三步发现环境变化，全部重规划还是局部重规划？,中频,难,False,questions/02-planning-control/q014.md
q015,15,2,Planning、Reflection 与任务控制,ReAct Agent 为什么经常死循环？怎么识别？,必考,中,True,questions/02-planning-control/q015.md
q016,16,2,Planning、Reflection 与任务控制,max_steps 设置 10 还是 100？依据是什么？,中频,中,False,questions/02-planning-control/q016.md
q017,17,2,Planning、Reflection 与任务控制,什么时候 Agent 应该向用户澄清，而不是继续猜？,高频,中,False,questions/02-planning-control/q017.md
q018,18,2,Planning、Reflection 与任务控制,Reflection 为什么不是简单让模型‘再想一次’？,高频,中,False,questions/02-planning-control/q018.md
q019,19,2,Planning、Reflection 与任务控制,一个需要运行 2 小时的任务如何拆分，避免后期越来越跑偏？,必考,难,False,questions/02-planning-control/q019.md
q020,20,2,Planning、Reflection 与任务控制,用户在 Agent 执行第 18 步时点击取消，系统如何正确停止？,高频,难,False,questions/02-planning-control/q020.md
q021,21,3,Tool Calling、MCP 与外部动作,Function Calling 背后模型如何决定调用哪个工具？,必考,中,True,questions/03-tools-mcp/q021.md
q022,22,3,Tool Calling、MCP 与外部动作,Agent 总在两个类似工具之间选错，怎么解决？,必考,中,False,questions/03-tools-mcp/q022.md
q023,23,3,Tool Calling、MCP 与外部动作,工具调用 timeout 了，你会直接 retry 吗？,必考,难,True,questions/03-tools-mcp/q023.md
q024,24,3,Tool Calling、MCP 与外部动作,支付 API 成功但响应丢失，Agent 认为失败并重试，如何避免重复执行？,必考,难,True,questions/03-tools-mcp/q024.md
q025,25,3,Tool Calling、MCP 与外部动作,Tool 返回 partial success，接口应该怎么表达？,中频,中,False,questions/03-tools-mcp/q025.md
q026,26,3,Tool Calling、MCP 与外部动作,五个工具可以并行调用，如何决定并行还是串行？,高频,中,False,questions/03-tools-mcp/q026.md
q027,27,3,Tool Calling、MCP 与外部动作,Tool 返回 100K tokens，直接塞回 context 会发生什么？,必考,中,False,questions/03-tools-mcp/q027.md
q028,28,3,Tool Calling、MCP 与外部动作,MCP 和普通 Function Calling 有什么本质区别？,必考,中,False,questions/03-tools-mcp/q028.md
q029,29,3,Tool Calling、MCP 与外部动作,几百个 MCP Tool 全部暴露给模型为什么是坏设计？,高频,难,False,questions/03-tools-mcp/q029.md
q030,30,3,Tool Calling、MCP 与外部动作,设计一个 Production Tool Gateway。,必考,难,True,questions/03-tools-mcp/q030.md
q031,31,4,Multi-Agent 通信与协作,什么时候 Multi-Agent 比 Single-Agent 更好？什么时候反而更差？,必考,中,False,questions/04-multi-agent/q031.md
q032,32,4,Multi-Agent 通信与协作,Orchestrator-Worker 架构怎么设计？,必考,难,False,questions/04-multi-agent/q032.md
q033,33,4,Multi-Agent 通信与协作,多个 Agent 使用异步 JSON 消息通信，你会设计哪些字段？,必考,难,True,questions/04-multi-agent/q033.md
q034,34,4,Multi-Agent 通信与协作,Agent 消息丢失、重复、乱序分别怎么办？,必考,难,True,questions/04-multi-agent/q034.md
q035,35,4,Multi-Agent 通信与协作,主 Agent 怎么知道子 Agent 真正完成？,必考,难,True,questions/04-multi-agent/q035.md
q036,36,4,Multi-Agent 通信与协作,Handoff 时传整个聊天记录还是最小上下文？,高频,中,False,questions/04-multi-agent/q036.md
q037,37,4,Multi-Agent 通信与协作,两个 Agent 对同一问题给出冲突结论怎么办？,高频,难,False,questions/04-multi-agent/q037.md
q038,38,4,Multi-Agent 通信与协作,多个 Agent 相互调用进入无限‘甩锅循环’，怎么发现和阻断？,必考,难,True,questions/04-multi-agent/q038.md
q039,39,4,Multi-Agent 通信与协作,8 个 Worker 中一个失败，要不要整个任务失败？,中频,中,False,questions/04-multi-agent/q039.md
q040,40,4,Multi-Agent 通信与协作,多 Agent 如何实现 Context、Storage、Permission 完全隔离，又允许必要交换？,必考,难,False,questions/04-multi-agent/q040.md
q041,41,5,Context Engineering 与 Memory,长任务 Context Window 快爆了怎么办？,必考,难,True,questions/05-context-memory/q041.md
q042,42,5,Context Engineering 与 Memory,Context Compaction 和 Context Reset 有什么区别？,必考,难,False,questions/05-context-memory/q042.md
q043,43,5,Context Engineering 与 Memory,摘要会丢关键细节，如何保证压缩后 Agent 不失忆？,必考,难,True,questions/05-context-memory/q043.md
q044,44,5,Context Engineering 与 Memory,什么是 Context Pollution？如何判断 context 已经‘脏了’？,高频,中,False,questions/05-context-memory/q044.md
q045,45,5,Context Engineering 与 Memory,100K token context budget 应该怎么分配？,中频,中,False,questions/05-context-memory/q045.md
q046,46,5,Context Engineering 与 Memory,多 Agent 是否应该共享同一个 Context？,高频,中,False,questions/05-context-memory/q046.md
q047,47,5,Context Engineering 与 Memory,Agent 什么内容值得写入长期记忆？,必考,中,False,questions/05-context-memory/q047.md
q048,48,5,Context Engineering 与 Memory,长期记忆出现两条互相冲突的信息怎么办？,高频,难,False,questions/05-context-memory/q048.md
q049,49,5,Context Engineering 与 Memory,Semantic、Episodic、Procedural Memory 分别解决什么问题？,中频,中,False,questions/05-context-memory/q049.md
q050,50,5,Context Engineering 与 Memory,怎么证明你的 Memory 系统真的有效？,必考,难,False,questions/05-context-memory/q050.md
q051,51,6,Agentic RAG,Agent 中 RAG 应该一直执行，还是作为 Tool 按需调用？,高频,中,False,questions/06-agentic-rag/q051.md
q052,52,6,Agentic RAG,模型怎么判断自己现在需要检索？,高频,中,False,questions/06-agentic-rag/q052.md
q053,53,6,Agentic RAG,Chunk 越大越好吗？,高频,中,False,questions/06-agentic-rag/q053.md
q054,54,6,Agentic RAG,为什么生产 RAG 常采用 Hybrid Retrieval + Rerank？,必考,中,False,questions/06-agentic-rag/q054.md
q055,55,6,Agentic RAG,Retriever 找错资料，Agent 根据错误资料执行错误动作，怎么解决？,必考,难,False,questions/06-agentic-rag/q055.md
q056,56,6,Agentic RAG,Agent 如何做 Multi-hop / Iterative Retrieval？,高频,难,False,questions/06-agentic-rag/q056.md
q057,57,6,Agentic RAG,有 ACL 的企业知识库，是 retrieval 前过滤还是 retrieval 后过滤？,必考,难,False,questions/06-agentic-rag/q057.md
q058,58,6,Agentic RAG,知识库一分钟更新一次，但向量索引十分钟更新一次，Agent 如何避免读旧数据？,高频,难,False,questions/06-agentic-rag/q058.md
q059,59,6,Agentic RAG,RAG 到底怎么评估？,必考,难,False,questions/06-agentic-rag/q059.md
q060,60,6,Agentic RAG,向量数据库挂了，Agent 是直接失败还是降级？,高频,中,False,questions/06-agentic-rag/q060.md
q061,61,7,Durable Execution 与 Fault Tolerance,一个 Agent 运行 40 分钟，第 39 分钟进程 crash，怎么办？,必考,难,True,questions/07-durable-execution/q061.md
q062,62,7,Durable Execution 与 Fault Tolerance,Checkpoint 应该保存什么？,必考,中,False,questions/07-durable-execution/q062.md
q063,63,7,Durable Execution 与 Fault Tolerance,Tool 已执行成功，但 Agent 在写 checkpoint 前 crash，会发生什么？,必考,难,True,questions/07-durable-execution/q063.md
q064,64,7,Durable Execution 与 Fault Tolerance,哪些错误应该 retry，哪些绝对不应该 retry？,必考,中,False,questions/07-durable-execution/q064.md
q065,65,7,Durable Execution 与 Fault Tolerance,Agent 为什么需要 Circuit Breaker？,高频,中,False,questions/07-durable-execution/q065.md
q066,66,7,Durable Execution 与 Fault Tolerance,整个 Agent SLA 30 秒，内部 5 个工具 timeout 怎么分？,高频,中,False,questions/07-durable-execution/q066.md
q067,67,7,Durable Execution 与 Fault Tolerance,流量突然增长 20 倍，Agent 队列怎么保护系统？,高频,难,False,questions/07-durable-execution/q067.md
q068,68,7,Durable Execution 与 Fault Tolerance,同一用户同时启动两个修改同一资源的 Agent，怎么办？,高频,难,False,questions/07-durable-execution/q068.md
q069,69,7,Durable Execution 与 Fault Tolerance,Agent 已执行 A、B、C，D 失败，需要 rollback，怎么设计？,必考,难,False,questions/07-durable-execution/q069.md
q070,70,7,Durable Execution 与 Fault Tolerance,v1 代码产生的 checkpoint，在 v2 发布后如何恢复？,高频,难,False,questions/07-durable-execution/q070.md
q071,71,8,Evaluation、Tracing 与 Observability,Agent 每次 Run 到底应该 Trace 什么？,必考,中,True,questions/08-eval-observability/q071.md
q072,72,8,Evaluation、Tracing 与 Observability,线上 Agent 成功率从 85% 降到 70%，怎么定位？,必考,难,False,questions/08-eval-observability/q072.md
q073,73,8,Evaluation、Tracing 与 Observability,Agent Eval Dataset 怎么构建？,必考,中,False,questions/08-eval-observability/q073.md
q074,74,8,Evaluation、Tracing 与 Observability,为什么 Agent 不能只评最终答案？,必考,难,False,questions/08-eval-observability/q074.md
q075,75,8,Evaluation、Tracing 与 Observability,LLM-as-a-Judge 有什么问题？,高频,中,False,questions/08-eval-observability/q075.md
q076,76,8,Evaluation、Tracing 与 Observability,修改一句 System Prompt，怎么确定没有让其他任务退化？,必考,中,False,questions/08-eval-observability/q076.md
q077,77,8,Evaluation、Tracing 与 Observability,Agent 在线 A/B Test 应该观察什么？,高频,中,False,questions/08-eval-observability/q077.md
q078,78,8,Evaluation、Tracing 与 Observability,怎么在线发现一个 Agent 已经开始 runaway？,必考,难,False,questions/08-eval-observability/q078.md
q079,79,8,Evaluation、Tracing 与 Observability,用户说‘Agent 答错了’，怎么判断是 Model、RAG、Tool 还是 Planner 的问题？,必考,难,True,questions/08-eval-observability/q079.md
q080,80,8,Evaluation、Tracing 与 Observability,Agent 的 SLO 应该怎么定义？,高频,难,False,questions/08-eval-observability/q080.md
q081,81,9,Security、Permission 与 HITL,网页里的 Prompt Injection 告诉 Agent‘忽略之前指令’，怎么办？,必考,难,False,questions/09-security-hitl/q081.md
q082,82,9,Security、Permission 与 HITL,什么叫 Least Privilege Agent？,必考,中,False,questions/09-security-hitl/q082.md
q083,83,9,Security、Permission 与 HITL,什么操作应该 Human-in-the-Loop？,必考,中,False,questions/09-security-hitl/q083.md
q084,84,9,Security、Permission 与 HITL,执行代码的 Agent 为什么要 Sandbox？,高频,难,False,questions/09-security-hitl/q084.md
q085,85,9,Security、Permission 与 HITL,Tracing 很重要，但 Trace 中包含用户敏感信息怎么办？,高频,中,False,questions/09-security-hitl/q085.md
q086,86,9,Security、Permission 与 HITL,Multi-Tenant Agent 如何保证 A 公司数据不会进入 B 公司 Context？,必考,难,False,questions/09-security-hitl/q086.md
q087,87,9,Security、Permission 与 HITL,工具标记为 read-only、destructive、idempotent 有什么意义？,高频,中,False,questions/09-security-hitl/q087.md
q088,88,9,Security、Permission 与 HITL,Agent 调第三方工具需要 Credential，Credential 应该放在哪里？,必考,中,False,questions/09-security-hitl/q088.md
q089,89,9,Security、Permission 与 HITL,权限控制应该放在 Prompt、Agent、Tool Gateway 还是业务 API？,必考,难,False,questions/09-security-hitl/q089.md
q090,90,9,Security、Permission 与 HITL,Memory Poisoning 怎么解决？,必考,难,False,questions/09-security-hitl/q090.md
q091,91,10,性能、成本与综合系统设计,一个 Agent 每次任务需要 200K tokens，怎么降到 50K？,必考,难,False,questions/10-performance-system-design/q091.md
