id,title,chapter,chapter_title,type,level,priority,path,refs
Q001,什么是 Post-Training？为什么 Pretraining 后仍需要后训练？,1,后训练全景与 SFT,高频题,L1,normal,docs/01-sft-data/q001-post-training-goal.md,P14
Q002,SFT 到底在学什么？为什么说它是 behavior cloning？,1,后训练全景与 SFT,高频题,L1,high,docs/01-sft-data/q002-sft-behavior-cloning.md,P14
Q003,公开真题：SFT 数据如何筛选和采样？,1,后训练全景与 SFT,公开真题,L2,high,docs/01-sft-data/q003-sft-data-filter-sampling.md,"I7,P14"
Q004,SFT 数据是越多越好吗？如何理解 data quality × diversity × difficulty？,1,后训练全景与 SFT,高频题,L2,normal,docs/01-sft-data/q004-sft-data-quality-diversity-difficulty.md,P14
Q005,为什么 SFT 会造成 catastrophic forgetting 或 alignment tax？,1,后训练全景与 SFT,原理推导,L2,normal,docs/01-sft-data/q005-sft-forgetting-alignment-tax.md,P14
Q006,多领域 SFT 数据应该怎么配比？,1,后训练全景与 SFT,高频题,L2,normal,docs/01-sft-data/q006-sft-domain-mixture.md,P14
Q007,为什么 instruction data 需要 prompt diversity，而不只是 response diversity？,1,后训练全景与 SFT,原理推导,L1,normal,docs/01-sft-data/q007-prompt-diversity.md,P14
Q008,公开真题：CoT 数据怎么构建、筛选与验证？,1,后训练全景与 SFT,公开真题,L3,normal,docs/01-sft-data/q008-cot-data-build-filter-verify.md,"I3,I7,P14"
Q009,为什么 SFT 经常是 RL 的 cold start？DeepSeek-R1-Zero 又为什么可以跳 过？,1,后训练全景与 SFT,原理推导,L3,normal,docs/01-sft-data/q009-sft-cold-start-pure-rl.md,"P8,P14"
Q010,SFT、DPO 与 Online RL 应该如何选？,1,后训练全景与 SFT,系统设计,L3,high,docs/01-sft-data/q010-sft-dpo-online-rl-choice.md,P14
Q011,Reward Model 如何训练？Bradley-Terry 假设是什么？,2,Preference、Reward Model 与 Reward Design,高频题,L2,high,docs/02-reward-model/q011-reward-model-bradley-terry.md,P14
Q012,公开真题：PPO 中的 Reward Model 数据从哪里来？,2,Preference、Reward Model 与 Reward Design,公开真题,L2,normal,docs/02-reward-model/q012-reward-model-data-source.md,"I6,P14"
Q013,Preference pair 的 margin、难度和 annotator agreement 为什么重要？,2,Preference、Reward Model 与 Reward Design,原理推导,L2,normal,docs/02-reward-model/q013-preference-margin-agreement.md,P14
Q014,如何处理不同标注员之间的 preference disagreement？,2,Preference、Reward Model 与 Reward Design,系统设计,L3,normal,docs/02-reward-model/q014-annotator-disagreement.md,P14
Q015,Reward Model 为什么会被 policy exploit？,2,Preference、Reward Model 与 Reward Design,原理推导,L3,normal,docs/02-reward-model/q015-reward-model-exploitation.md,P14
Q016,公开真题：什么是 Reward Hacking？常见类型有哪些？,2,Preference、Reward Model 与 Reward Design,公开真题,L2,high,docs/02-reward-model/q016-reward-hacking-types.md,"I7,P14"
Q017,如何系统检测 Reward Hacking？,2,Preference、Reward Model 与 Reward Design,系统设计,L3,normal,docs/02-reward-model/q017-detect-reward-hacking.md,P14
Q018,Outcome Reward 与 Process Reward 有什么本质差异？,2,Preference、Reward Model 与 Reward Design,高频题,L3,normal,docs/02-reward-model/q018-outcome-vs-process-reward.md,P14
Q019,多个 Reward / Judge 如何组合？,2,Preference、Reward Model 与 Reward Design,系统设计,L3,normal,docs/02-reward-model/q019-multi-reward-composition.md,P14
Q020,为什么 rule-based verifier 是 RLVR 的关键基础设施？,2,Preference、Reward Model 与 Reward Design,原理推导,L2,normal,docs/02-reward-model/q020-rule-verifier-rlvr.md,"P2,P8,P14"
Q021,公开真题：PPO 是 on-policy 还是 off-policy？为什么答案不能只说一个词？,3,PPO / GAE / 经典 RLHF,公开真题,L2,high,docs/03-ppo-gae/q021-ppo-on-vs-off-policy.md,"I1,P1,P3,P14"
Q022,公开真题：为什么 PPO 需要 Importance Sampling？,3,PPO / GAE / 经典 RLHF,公开真题,L2,normal,docs/03-ppo-gae/q022-ppo-importance-sampling.md,"I1,I11,P1,P3,P14"
Q023,PPO clipped surrogate objective 怎么写？min 到底在做什么？,3,PPO / GAE / 经典 RLHF,高频题,L3,high,docs/03-ppo-gae/q023-ppo-clipped-objective.md,"P1,P3,P14"
Q024,公开真题：Advantage 为正/负时 clip 分别限制什么？,3,PPO / GAE / 经典 RLHF,公开真题,L3,high,docs/03-ppo-gae/q024-ppo-clip-positive-negative-advantage.md,"I1,P1,P3,P14"
Q025,PPO 为什么需要 Critic / Value Model？,3,PPO / GAE / 经典 RLHF,高频题,L2,normal,docs/03-ppo-gae/q025-ppo-critic-value-model.md,"P1,P3,P14"
Q026,公开真题：GAE 如何计算？λ 控制什么？,3,PPO / GAE / 经典 RLHF,公开真题,L3,high,docs/03-ppo-gae/q026-gae-derivation-lambda.md,"I1,I6,P3,P1,P14"
Q027,为什么经典 PPO-RLHF 常说需要四个模型？,3,PPO / GAE / 经典 RLHF,高频题,L2,high,docs/03-ppo-gae/q027-ppo-four-models.md,"P1,P3,P14"
Q028,Reference Model 与 KL penalty 的本质作用是什么？,3,PPO / GAE / 经典 RLHF,原理推导,L3,normal,docs/03-ppo-gae/q028-reference-model-kl.md,"P1,P3,P14"
