id,number,title,chapter,chapter_title,difficulty,frequency,top30,source_label,tags,path,followups,memo,content_version
Q001,1,卷积在图像处理中到底做了什么？,1,传统图像处理与视觉基础,3,4,False,公开面经近似原题,traditional-cv|convolution|public-interview-pattern,docs/01-traditional-cv/q001.md,为什么是平移等变而不是不变？|padding/stride/dilation 各改变什么？|1×1 卷积为什么有效？,卷积 = 局部 + 共享 + 等变。,v2-professional-expanded
Q002,2,Gaussian Blur 为什么能去噪？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv|filtering,docs/01-traditional-cv/q002.md,σ 与 kernel size 如何配合？|Gaussian 与 bilateral filter 的差异？,先分析噪声频谱，再决定是否平滑。,v2-professional-expanded
Q003,3,Sobel、Laplacian、Canny 有什么区别？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv|edge-detection,docs/01-traditional-cv/q003.md,Canny 两个阈值分别做什么？|为什么二阶导数更放大噪声？,Sobel 看一阶，Laplacian 看二阶，Canny 做完整边缘流程。,v2-professional-expanded
Q004,4,Histogram Equalization 为什么能提高对比度？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv,docs/01-traditional-cv/q004.md,CLAHE 为什么要 clip？|Gamma correction 与 HE 有何不同？,HE 拉开灰度；CLAHE 解决局部照明并控制噪声增益。,v2-professional-expanded
Q005,5,腐蚀、膨胀、开闭运算分别做什么？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv,docs/01-traditional-cv/q005.md,结构元素形状为什么重要？|如何用形态学连接文本行？,腐蚀收缩、膨胀扩张；开去噪、闭补洞。,v2-professional-expanded
Q006,6,RGB、HSV、YCbCr 为什么要存在不同颜色空间？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv,docs/01-traditional-cv/q006.md,为什么 JPEG/视频偏好 YCbCr？|HSV 在灰色附近为什么不稳定？,RGB 面向设备，HSV 面向感知，YCbCr 面向亮度/色度分离。,v2-professional-expanded
Q007,7,什么是图像金字塔？它和 FPN 有什么关系？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv|fpn,docs/01-traditional-cv/q007.md,FPN 为什么不是简单 resize？|BiFPN/PAN 改了什么？,传统金字塔做像素尺度，FPN 做特征尺度。,v2-professional-expanded
Q008,8,SIFT 为什么具有尺度和旋转不变性？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv|local-feature,docs/01-traditional-cv/q008.md,为什么用 DoG？|SIFT 与 ORB 的权衡？,尺度空间找点，主方向对齐，梯度直方图描述。,v2-professional-expanded
Q009,9,HOG 的基本原理是什么？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv|handcrafted-feature,docs/01-traditional-cv/q009.md,为什么要 block normalization？|HOG 与 SIFT 有何共同点？,HOG = 局部方向直方图 + block 归一化。,v2-professional-expanded
Q010,10,图像缩放为什么会发生 aliasing？,1,传统图像处理与视觉基础,3,4,False,基础高频,traditional-cv,docs/01-traditional-cv/q010.md,为什么下采样比上采样更需要 anti-alias？|align_corners 会带来什么差异？,缩小前先限频；resize 是模型分布的一部分。,v2-professional-expanded
Q011,11,为什么 CNN 适合处理图像？,2,CNN 与深度学习基本功,3,5,False,公开面经高频,cnn-fundamentals|public-interview-pattern,docs/02-cnn-fundamentals/q011.md,CNN 的 inductive bias 对 ViT 是优势还是限制？|什么时候等变性会被破坏？,CNN 的核心是局部、共享、层级。,v2-professional-expanded
Q012,12,卷积层参数量和 FLOPs 怎么计算？,2,CNN 与深度学习基本功,4,5,True,基础高频,cnn-fundamentals|convolution|inference|top30,docs/02-cnn-fundamentals/q012.md,给定 224×224×64，3×3 到128通道怎么算？|为什么 FLOPs 与 latency 不等价？,参数看核和通道；计算再乘输出位置。,v2-professional-expanded
Q013,13,什么是 receptive field？怎么计算？,2,CNN 与深度学习基本功,4,5,True,基础高频,cnn-fundamentals|top30,docs/02-cnn-fundamentals/q013.md,两个 3×3 stride1 的感受野是多少？|dilation=2 的 3×3 等效尺寸？,感受野是“看得到多大”，有效感受野是“真正依赖多大”。,v2-professional-expanded
Q014,14,为什么深层网络会梯度消失/爆炸？,2,CNN 与深度学习基本功,4,5,True,公开面经高频,cnn-fundamentals|public-interview-pattern|top30,docs/02-cnn-fundamentals/q014.md,ResNet identity path 为什么有帮助？|BN 能完全解决梯度问题吗？,深网络梯度是连乘；稳定训练要同时控制尺度和路径。,v2-professional-expanded
Q015,15,Xavier 和 He 初始化有什么区别？,2,CNN 与深度学习基本功,4,4,False,基础高频,cnn-fundamentals,docs/02-cnn-fundamentals/q015.md,fan_in/fan_out 是什么？|预训练 backbone 需要重新初始化吗？,Xavier 保方差，He 为 ReLU 截断做补偿。,v2-professional-expanded
Q016,16,BatchNorm 为什么有效？训练和推理有什么区别？,2,CNN 与深度学习基本功,5,5,True,公开面经原型/手撕高频,cnn-fundamentals|normalization|public-interview-pattern|top30,docs/02-cnn-fundamentals/q016.md,running mean/var 怎么更新？|为什么 γ/β 必须可学？|batch size=1 会怎样？,BN = 批统计归一化 + γβ；训练看 batch，推理看 running。,v2-professional-expanded
Q017,17,BN、LN、GN 有什么区别？,2,CNN 与深度学习基本功,4,4,False,基础高频,cnn-fundamentals|normalization,docs/02-cnn-fundamentals/q017.md,为什么 Transformer 常用 LN？|GN 的 group 数怎么选？,Norm 的核心问题：统计谁、统计哪些轴、是否依赖 batch。,v2-professional-expanded
Q018,18,为什么 ResNet 可以训练很深？,2,CNN 与深度学习基本功,5,5,True,基础高频,cnn-fundamentals|residual-network|top30,docs/02-cnn-fundamentals/q018.md,projection shortcut 为什么用 1×1？|bottleneck 为什么 1×1-3×3-1×1？,ResNet 的关键是 identity highway。,v2-professional-expanded
Q019,19,ReLU 为什么比 sigmoid 更适合深网络？,2,CNN 与深度学习基本功,3,4,False,基础高频,cnn-fundamentals,docs/02-cnn-fundamentals/q019.md,dead ReLU 为什么发生？|GELU 与 ReLU 的直觉差异？,ReLU 用非饱和正半轴换来更易优化。,v2-professional-expanded
Q020,20,Dropout 为什么训练时要 scaling？,2,CNN 与深度学习基本功,3,4,False,基础高频,cnn-fundamentals,docs/02-cnn-fundamentals/q020.md,Dropout 与 ensemble 有何联系？|stochastic depth 与 dropout 差在哪？,训练时保期望，推理时用完整网络。,v2-professional-expanded
Q021,21,普通卷积、Group Conv、Depthwise Conv 有什么区别？,2,CNN 与深度学习基本功,4,5,True,公开面经高频,cnn-fundamentals|convolution|depth|public-interview-pattern|top30,docs/02-cnn-fundamentals/q021.md,为什么 1×1 可能占 MobileNet 大部分计算？|Depthwise 为什么实际不一定快？,Group 控制通道连接，Depthwise 拆开空间与通道混合。,v2-professional-expanded
Q022,22,MobileNet V1/V2/V3 分别解决了什么？,2,CNN 与深度学习基本功,4,5,False,公开面经原型,cnn-fundamentals|efficient-network|public-interview-pattern,docs/02-cnn-fundamentals/q022.md,为什么叫 inverted residual？|linear bottleneck 为什么重要？,V1 拆卷积，V2 倒残差+线性瓶颈，V3 加搜索与硬件约束。,v2-professional-expanded
Q023,23,SE 和 CBAM Attention 怎么工作？,2,CNN 与深度学习基本功,4,4,False,基础高频,cnn-fundamentals|attention,docs/02-cnn-fundamentals/q023.md,SE 为什么要 squeeze/excitation？|Attention 权重等于可解释性吗？,SE 重标通道，CBAM 再加空间重标。,v2-professional-expanded
Q024,24,SGD 和 Adam 有什么区别？,2,CNN 与深度学习基本功,4,5,True,公开面经高频,cnn-fundamentals|optimization|public-interview-pattern|top30,docs/02-cnn-fundamentals/q024.md,Adam 为什么需要 bias correction？|batch 变大为什么常调 learning rate？,SGD 积累方向，Adam 再按历史尺度自适应。,v2-professional-expanded
Q025,25,为什么 Weight Decay 和 L2 Regularization 在 Adam 中不完全一样？,2,CNN 与深度学习基本功,4,4,False,基础高频,cnn-fundamentals|optimization,docs/02-cnn-fundamentals/q025.md,为什么 norm/bias 常 no_decay？|AdamW 的 λ 与 lr 如何互动？,AdamW 把“优化梯度”和“参数衰减”分开。,v2-professional-expanded
