id,title,chapter,difficulty,tags,path
Q001,为什么 Transformer 能取代 RNN/LSTM？,1,2/5,transformer,docs/questions/chapter-01/Q001.md
Q002,请完整描述一个 Transformer Encoder Layer,1,2/5,transformer,docs/questions/chapter-01/Q002.md
Q003,请完整描述 Transformer Decoder,1,2/5,inference,docs/questions/chapter-01/Q003.md
Q004,Residual Connection 到底解决什么问题？,1,3/5,transformer,docs/questions/chapter-01/Q004.md
Q005,为什么 Transformer 更常用 LayerNorm 而不是 BatchNorm？,1,2/5,normalization,docs/questions/chapter-01/Q005.md
Q006,手写 Transformer 时最重要的 Tensor Shape 链是什么？,1,2/5,transformer,docs/questions/chapter-01/Q006.md
Q007,标准 Multi-Head Attention 参数量如何估算？,1,2/5,attention,docs/questions/chapter-01/Q007.md
Q008,Self-Attention 与 Cross-Attention 的本质区别是什么？,1,2/5,attention,docs/questions/chapter-01/Q008.md
Q009,Attention 与 FFN 分别承担什么功能？,1,2/5,attention;ffn,docs/questions/chapter-01/Q009.md
Q010,如果完全删除 Position Encoding，会发生什么？,1,3/5,position;coding,docs/questions/chapter-01/Q010.md
Q011,写出 Scaled Dot-Product Attention，并逐项解释,2,2/5,attention,docs/questions/chapter-02/Q011.md
Q012,为什么必须除以 √d_k？,2,3/5,transformer,docs/questions/chapter-02/Q012.md
Q013,为什么 Mask 要加在 Softmax 之前？,2,2/5,attention,docs/questions/chapter-02/Q013.md
Q014,Softmax 如何避免数值溢出？,2,2/5,attention,docs/questions/chapter-02/Q014.md
Q015,为什么需要 Multi-Head Attention？,2,3/5,attention,docs/questions/chapter-02/Q015.md
Q016,为什么通常设置 d_head=d_model/H？,2,2/5,attention,docs/questions/chapter-02/Q016.md
Q017,Q、K、V 为什么使用不同投影？,2,3/5,attention,docs/questions/chapter-02/Q017.md
Q018,为什么使用 Dot-Product Attention，而不是任意 MLP 相似度？,2,3/5,attention,docs/questions/chapter-02/Q018.md
Q019,Self-Attention 的时间复杂度到底是多少？,2,3/5,attention,docs/questions/chapter-02/Q019.md
Q020,Causal Mask 的矩阵结构是什么？,2,2/5,attention,docs/questions/chapter-02/Q020.md
Q021,Padding Mask 与 Causal Mask 如何组合？,2,3/5,attention,docs/questions/chapter-02/Q021.md
Q022,Attention Dropout 通常加在哪里？,2,2/5,attention,docs/questions/chapter-02/Q022.md
Q023,Attention Weight 能否直接作为模型解释？,2,3/5,attention,docs/questions/chapter-02/Q023.md
Q024,为什么 Linear Attention 不能简单替代 Softmax Attention？,2,4/5,attention;systems,docs/questions/chapter-02/Q024.md
Q025,写出经典 Sinusoidal Position Encoding,2,2/5,position;coding,docs/questions/chapter-02/Q025.md
