id,title,chapter,difficulty,tags,path,refs
Q001,什么是机器人自由度？6-DoF 位姿与关节自由度有什么区别？,1,2,geometry|kinematics|robotics,docs/questions/01-robotics-kinematics/Q001.md,R19
Q002,齐次变换矩阵为什么是机器人坐标变换的核心？,1,2,geometry|kinematics|robotics,docs/questions/01-robotics-kinematics/Q002.md,R19
Q003,SO(3)、SE(3) 分别是什么？为什么机器人优化不能把旋转当普通欧式向量？,1,2,geometry|kinematics|robotics|se3,docs/questions/01-robotics-kinematics/Q003.md,R19
Q004,Euler Angle、Rotation Matrix、Quaternion 如何选择？,1,2,geometry|kinematics|robotics,docs/questions/01-robotics-kinematics/Q004.md,
Q005,正运动学与逆运动学分别解决什么问题？,1,2,fk|geometry|ik|kinematics|robotics,docs/questions/01-robotics-kinematics/Q005.md,R19
Q006,Jacobian 在机器人运动与力控制里为什么重要？,1,4,control|geometry|jacobian|kinematics|robotics,docs/questions/01-robotics-kinematics/Q006.md,R19
Q007,什么是运动学奇异点？如何避免？,1,4,geometry|kinematics|robotics,docs/questions/01-robotics-kinematics/Q007.md,
Q008,Manipulability 是什么？为什么面试官会把它和冗余机械臂一起问？,1,2,geometry|kinematics|robotics,docs/questions/01-robotics-kinematics/Q008.md,R19
Q009,DH 参数是什么？现代机器人为什么仍值得掌握？,1,2,geometry|kinematics|robotics,docs/questions/01-robotics-kinematics/Q009.md,R19
Q010,VLA 输出 Cartesian Delta Action 后，怎样真正变成电机命令？,1,2,geometry|kinematics|robotics|vla,docs/questions/01-robotics-kinematics/Q010.md,R2
Q011,相机内参、外参分别是什么？,2,2,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q011.md,
Q012,什么是手眼标定？Eye-in-Hand 和 Eye-to-Hand 有什么区别？,2,2,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q012.md,
Q013,RGB-D 如何从像素恢复三维点？,2,2,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q013.md,
Q014,点云处理的标准 pipeline 是什么？,2,2,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q014.md,
Q015,ICP 的原理、适用条件和失败模式是什么？,2,2,3d-vision|icp|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q015.md,
Q016,SLAM 解决什么问题？前端和后端分别做什么？,2,4,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q016.md,R17
Q017,EKF 为什么常用于机器人状态估计？,2,4,3d-vision|ekf|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q017.md,R19
Q018,IMU 为什么会漂移？如何与其他传感器融合？,2,2,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q018.md,
Q019,2D Detection、6D Pose、Tracking 在机器人任务里分别解决什么？,2,2,3d-vision|perception|slam|state-estimation,docs/questions/02-perception-slam-state-estimation/Q019.md,R19
Q020,有了 VLM/VLA，为什么传统 perception 仍然重要？,2,2,3d-vision|perception|slam|state-estimation|vla,docs/questions/02-perception-slam-state-estimation/Q020.md,
